,Date,Open,High,Low,Close,Adj Close,Volume,Stock Ticker
0,1996-12-01,1.85,1.85,1.525,1.575,0.8172119999999999,25047000,VEON
1,1997-01-01,1.575,2.55,1.575,2.441667,1.266896,33225000,VEON
2,1997-02-01,2.458333,2.666667,2.066667,2.291667,1.189066,20949000,VEON
3,1997-03-01,2.291667,2.358333,2.1333330000000004,2.1333330000000004,1.1069120000000001,6900000,VEON
4,1997-04-01,2.125,2.333333,1.9833330000000002,2.016667,1.046378,8973000,VEON
5,1997-05-01,2.016667,2.2833330000000003,1.8666669999999999,1.9916669999999999,1.033406,44824500,VEON
6,1997-06-01,1.9916669999999999,2.5333330000000003,1.95,2.5333330000000003,1.314458,23437500,VEON
7,1997-07-01,2.5333330000000003,2.566667,2.183333,2.316667,1.202037,16075500,VEON
8,1997-08-01,2.325,2.620833,2.233333,2.2833330000000003,1.184742,19329000,VEON
9,1997-09-01,2.2833330000000003,2.7833330000000003,2.2833330000000003,2.7833330000000003,1.444174,18217500,VEON
10,1997-10-01,2.7833330000000003,2.9916669999999996,2.05,2.183333,1.132855,28653000,VEON
11,1997-11-01,2.25,2.358333,1.9,2.025,1.050701,19672500,VEON
12,1997-12-01,2.0291669999999997,2.5,1.95,2.375,1.232304,21520500,VEON
13,1998-01-01,2.375,2.3833330000000004,1.9833330000000002,2.0625,1.070159,26251500,VEON
14,1998-02-01,2.066667,2.708333,1.9833330000000002,2.65,1.374992,17592000,VEON
15,1998-03-01,2.65,3.0083330000000004,2.458333,2.9666669999999997,1.539299,25500000,VEON
16,1998-04-01,2.925,3.6958330000000004,2.754167,3.6,1.8679139999999999,42010500,VEON
17,1998-05-01,3.641667,3.9625,2.8875,3.229167,1.675501,37920000,VEON
18,1998-06-01,3.1333330000000004,3.733333,2.8041669999999996,2.983333,1.547947,41793000,VEON
19,1998-07-01,2.9666669999999997,3.416667,2.7375,2.8,1.4528219999999998,39384000,VEON
20,1998-08-01,2.7416669999999996,2.770833,0.533333,0.533333,0.27672800000000003,87769500,VEON
21,1998-09-01,0.583333,0.7,0.333333,0.35,0.181603,79674000,VEON
22,1998-10-01,0.333333,1.025,0.2875,0.783333,0.406444,103605000,VEON
23,1998-11-01,0.816667,1.45,0.7875,1.208333,0.626962,60049500,VEON
24,1998-12-01,1.133333,1.566667,0.7625,0.8625,0.447521,88468500,VEON
25,1999-01-01,0.858333,1.108333,0.820833,0.9625,0.499408,40041000,VEON
26,1999-02-01,0.958333,1.129167,0.870833,1.0,0.5188649999999999,25215000,VEON
27,1999-03-01,1.0,1.258333,0.916667,1.033333,0.5361600000000001,30736500,VEON
28,1999-04-01,1.025,1.158333,0.904167,1.1,0.570751,30757500,VEON
29,1999-05-01,1.104167,1.633333,1.104167,1.408333,0.730735,54532500,VEON
30,1999-06-01,1.391667,1.6833330000000002,1.2875,1.545833,0.802078,24903000,VEON
31,1999-07-01,1.558333,1.591667,1.170833,1.225,0.63561,25561500,VEON
32,1999-08-01,1.220833,1.245833,0.995833,1.0375,0.5383220000000001,14250000,VEON
33,1999-09-01,1.05,1.095833,0.8125,0.85,0.441035,17064000,VEON
34,1999-10-01,0.8625,1.208333,0.858333,1.125,0.583723,17998500,VEON
35,1999-11-01,1.120833,1.4625,0.995833,1.225,0.63561,31632000,VEON
36,1999-12-01,1.233333,3.058333,1.2,2.975,1.543623,81555000,VEON
37,2000-01-01,2.958333,3.0,2.1,2.566667,1.331753,76071000,VEON
38,2000-02-01,2.545833,3.308333,2.458333,2.8625,1.485251,42388500,VEON
39,2000-03-01,2.8458330000000003,3.545833,2.666667,2.8208330000000004,1.463631,56878500,VEON
40,2000-04-01,2.808333,2.808333,2.0,2.233333,1.158798,36073500,VEON
41,2000-05-01,2.2416669999999996,2.266667,1.416667,1.729167,0.8972040000000001,34306500,VEON
42,2000-06-01,1.729167,2.016667,1.375,1.4,0.7264109999999999,43674000,VEON
43,2000-07-01,1.491667,1.7875,1.3875,1.775,0.920985,67354500,VEON
44,2000-08-01,1.7833330000000003,2.233333,1.7166669999999997,1.8916669999999998,0.9815200000000001,52941000,VEON
45,2000-09-01,1.9,1.9916669999999999,1.016667,1.2875,0.668039,74446500,VEON
46,2000-10-01,1.295833,1.345833,1.025,1.3,0.674524,49660500,VEON
47,2000-11-01,1.316667,1.325,0.804167,0.804167,0.417254,19567500,VEON
48,2000-12-01,0.833333,1.125,0.816667,0.991667,0.514541,34878000,VEON
49,2001-01-01,0.983333,1.2625,0.929167,1.176667,0.610531,23178000,VEON
