Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,7.240000,7.280000,5.620000,6.480000,4.799953,68415900
2014-11-01,6.490000,6.540000,5.230000,5.250000,3.888851,37392700
2014-12-01,5.240000,5.240000,3.090000,4.180000,3.115228,79349000
2015-01-01,4.140000,4.380000,3.350000,3.600000,2.682971,47909100
2015-02-01,3.590000,5.480000,3.520000,5.480000,4.084079,56181100
2015-03-01,5.400000,5.900000,5.040000,5.240000,3.905214,43736000
2015-04-01,5.190000,6.140000,5.190000,5.670000,4.225680,33480700
2015-05-01,5.600000,6.490000,5.190000,6.210000,4.628126,47404000
2015-06-01,6.270000,6.500000,4.850000,4.970000,3.703991,44215500
2015-07-01,5.190000,6.000000,4.500000,5.780000,4.307660,42183000
2015-08-01,5.760000,6.200000,4.100000,4.670000,3.480411,58398700
2015-09-01,4.560000,5.080000,4.080000,4.120000,3.070512,42068900
2015-10-01,4.130000,4.310000,3.610000,3.780000,2.817120,37106500
2015-11-01,3.830000,3.830000,3.220000,3.600000,2.682971,65166400
2015-12-01,3.530000,3.590000,2.890000,3.280000,2.467958,127507400
2016-01-01,3.160000,3.420000,2.710000,3.290000,2.475482,38285300
2016-02-01,3.280000,3.890000,3.100000,3.540000,2.663589,43616600
2016-03-01,3.590000,4.270000,3.580000,4.260000,3.205336,33159700
2016-04-01,4.180000,4.290000,3.630000,3.810000,2.866744,22677300
2016-05-01,3.810000,3.900000,3.330000,3.800000,2.859219,17816500
2016-06-01,3.760000,4.110000,3.310000,3.880000,2.919414,21360700
2016-07-01,3.900000,4.200000,3.760000,4.080000,3.069899,19462600
2016-08-01,4.050000,4.510000,4.010000,4.270000,3.212860,16295300
2016-09-01,4.310000,4.450000,3.320000,3.480000,2.618443,216966100
2016-10-01,3.500000,3.530000,3.120000,3.340000,2.513103,74473400
2016-11-01,3.380000,3.510000,3.210000,3.360000,2.528152,50747800
2016-12-01,3.390000,3.980000,3.350000,3.850000,2.927705,80665900
2017-01-01,3.910000,4.290000,3.840000,4.230000,3.216673,93800200
2017-02-01,4.220000,4.500000,3.960000,4.110000,3.125420,91307300
2017-03-01,4.140000,4.240000,3.880000,4.050000,3.079794,78645000
2017-04-01,4.060000,4.360000,3.800000,4.130000,3.297862,100995700
2017-05-01,4.120000,4.250000,3.810000,3.880000,3.098234,44468800
2017-06-01,3.880000,3.980000,3.670000,3.910000,3.122189,74627600
2017-07-01,3.910000,4.160000,3.850000,4.090000,3.265922,57641000
2017-08-01,4.070000,4.290000,3.900000,4.220000,3.369728,45493000
2017-09-01,4.210000,4.470000,4.080000,4.180000,3.430270,99036400
2017-10-01,4.180000,4.230000,3.810000,3.910000,3.208698,96798700
2017-11-01,3.930000,4.140000,3.690000,4.040000,3.315381,92071900
2017-12-01,4.030000,4.050000,3.750000,3.840000,3.151253,55239300
2018-01-01,3.870000,4.110000,3.770000,3.800000,3.118428,69244400
2018-02-01,3.800000,3.820000,2.850000,2.890000,2.371646,149456700
2018-03-01,3.010000,3.070000,2.510000,2.640000,2.166487,129252100
2018-04-01,2.630000,2.760000,2.200000,2.750000,2.391371,182238500
2018-05-01,2.730000,2.800000,2.330000,2.390000,2.078318,74470700
2018-06-01,2.400000,2.480000,2.210000,2.380000,2.069623,61775000
2018-07-01,2.390000,3.150000,2.340000,3.030000,2.634856,90727000
2018-08-01,3.020000,3.090000,2.650000,2.900000,2.521809,54788800
2018-09-01,2.910000,2.960000,2.690000,2.900000,2.521809,42881900
2018-10-01,2.900000,2.980000,2.690000,2.810000,2.443546,59177600
2018-11-01,2.820000,2.970000,2.540000,2.720000,2.365283,47072200
2018-12-01,2.750000,2.750000,2.170000,2.340000,2.034839,74184700
2019-01-01,2.320000,2.640000,2.320000,2.530000,2.200061,33762700
2019-02-01,2.540000,2.670000,2.360000,2.510000,2.182669,36488900
2019-03-01,2.530000,2.610000,2.070000,2.090000,1.817442,141882600
2019-04-01,2.140000,2.360000,2.090000,2.340000,2.183304,202442100
2019-05-01,2.330000,2.530000,2.260000,2.300000,2.145982,92295000
2019-06-01,2.290000,2.860000,2.280000,2.800000,2.612500,156651500
2019-07-01,2.850000,3.280000,2.700000,3.130000,2.920402,107945500
2019-08-01,3.130000,3.130000,2.510000,2.610000,2.435223,100389700
2019-09-01,2.600000,2.620000,2.270000,2.400000,2.239286,132648600
2019-10-01,2.410000,2.490000,2.280000,2.400000,2.239286,105793200
2019-11-01,2.420000,2.700000,2.330000,2.640000,2.463214,187032700
2019-12-01,2.650000,2.680000,2.450000,2.530000,2.360580,131564700
2020-01-01,2.540000,2.700000,2.510000,2.590000,2.416563,84226900
2020-02-01,2.600000,2.780000,1.870000,1.980000,1.847411,168515400
2020-03-01,2.000000,2.060000,1.250000,1.510000,1.510000,194403200
2020-04-01,1.500000,1.710000,1.460000,1.710000,1.710000,80969800
2020-05-01,1.670000,1.690000,1.410000,1.490000,1.490000,95648800
2020-06-01,1.510000,1.850000,1.490000,1.800000,1.800000,213378600
2020-07-01,1.780000,1.870000,1.630000,1.690000,1.690000,90825300
2020-08-01,1.710000,1.730000,1.320000,1.420000,1.420000,76075200
2020-09-01,1.390000,1.400000,1.210000,1.260000,1.260000,148208500
2020-10-01,1.260000,1.410000,1.200000,1.250000,1.250000,59940500
2020-11-01,1.230000,1.530000,1.230000,1.450000,1.450000,74509100
2020-12-01,1.480000,1.650000,1.450000,1.510000,1.510000,67712300
2021-01-01,1.520000,1.900000,1.520000,1.610000,1.610000,75805200
2021-02-01,1.670000,1.710000,1.600000,1.650000,1.650000,14802400
